model,hw,task,ablation,operator,cycles,pct_of_total
janus,ours,MM,onlyT1,text/attn,5974702740,11.009
janus,ours,MM,onlyT1,text/ffn_down,8113151232,14.950
janus,ours,MM,onlyT1,text/ffn_up,16370033856,30.165
janus,ours,MM,onlyT1,text/omap,5952739584,10.969
janus,ours,MM,onlyT1,text/qkv,17858218752,32.907
janus,ours,MM,onlyT2,text/attn,5974702740,11.009
janus,ours,MM,onlyT2,text/ffn_down,8113151232,14.950
janus,ours,MM,onlyT2,text/ffn_up,16370033856,30.165
janus,ours,MM,onlyT2,text/omap,5952739584,10.969
janus,ours,MM,onlyT2,text/qkv,17858218752,32.907
janus,ours,MM,onlyT3,text/attn,5974702740,13.818
janus,ours,MM,onlyT3,text/ffn_down,4511820288,10.435
janus,ours,MM,onlyT3,text/ffn_up,8940233280,20.677
janus,ours,MM,onlyT3,text/omap,5952739584,13.767
janus,ours,MM,onlyT3,text/qkv,17858218752,41.302
janus,ours,MM,noT3,text/attn,5974702740,11.009
janus,ours,MM,noT3,text/ffn_down,8113151232,14.950
janus,ours,MM,noT3,text/ffn_up,16370033856,30.165
janus,ours,MM,noT3,text/omap,5952739584,10.969
janus,ours,MM,noT3,text/qkv,17858218752,32.907
