model,hw,task,ablation,operator,cycles,pct_of_total
janus,ours,GenEval,all_on,text/omap,1098144768,1.193
janus,ours,GenEval,all_on,text/qkv,3294434304,3.578
janus,ours,GenEval,alloff,img/attn,17189867520,8.848
janus,ours,GenEval,alloff,img/drain,15360,0.0
janus,ours,GenEval,alloff,img/ffn_down,25668403200,13.211
janus,ours,GenEval,alloff,img/ffn_up,51336806400,26.423
janus,ours,GenEval,alloff,img/omap,9333964800,4.804
janus,ours,GenEval,alloff,img/prefetch,61440,0.0
janus,ours,GenEval,alloff,img/qkv,25085030400,12.911
janus,ours,GenEval,alloff,text/attn,1010582940,0.52
janus,ours,GenEval,alloff,text/ffn_down,8113151232,4.176
janus,ours,GenEval,alloff,text/ffn_up,32740067712,16.851
janus,ours,GenEval,alloff,text/omap,5952739584,3.064
janus,ours,GenEval,alloff,text/qkv,17858218752,9.192
janus,ours,GenEval,allon_pure,img/attn,9347235840,7.278
janus,ours,GenEval,allon_pure,img/drain,15360,0.0
janus,ours,GenEval,allon_pure,img/ffn_down,13028843520,10.144
janus,ours,GenEval,allon_pure,img/ffn_up,24429081600,19.02
janus,ours,GenEval,allon_pure,img/omap,9333964800,7.267
janus,ours,GenEval,allon_pure,img/prefetch,61440,0.0
janus,ours,GenEval,allon_pure,img/qkv,25085030400,19.531
janus,ours,GenEval,allon_pure,text/attn,1010582940,0.787
janus,ours,GenEval,allon_pure,text/ffn_down,4511820288,3.513
janus,ours,GenEval,allon_pure,text/ffn_up,17880466560,13.921
janus,ours,GenEval,allon_pure,text/omap,5952739584,4.635
janus,ours,GenEval,allon_pure,text/qkv,17858218752,13.904
janus,ours,GenEval,noT3,img/attn,9347235840,5.101
janus,ours,GenEval,noT3,img/drain,15360,0.0
janus,ours,GenEval,noT3,img/ffn_down,25668403200,14.008
janus,ours,GenEval,noT3,img/ffn_up,48128256000,26.265
janus,ours,GenEval,noT3,img/omap,9333964800,5.094
janus,ours,GenEval,noT3,img/prefetch,61440,0.0
janus,ours,GenEval,noT3,img/qkv,25085030400,13.69
janus,ours,GenEval,noT3,text/attn,1010582940,0.552
janus,ours,GenEval,noT3,text/ffn_down,8113151232,4.428
janus,ours,GenEval,noT3,text/ffn_up,32740067712,17.868
janus,ours,GenEval,noT3,text/omap,5952739584,3.249
janus,ours,GenEval,noT3,text/qkv,17858218752,9.746
janus,ours,GenEval,onlyT1,img/attn,9347235840,5.013
janus,ours,GenEval,onlyT1,img/drain,15360,0.0
janus,ours,GenEval,onlyT1,img/ffn_down,25668403200,13.767
janus,ours,GenEval,onlyT1,img/ffn_up,51336806400,27.534
janus,ours,GenEval,onlyT1,img/omap,9333964800,5.006
janus,ours,GenEval,onlyT1,img/prefetch,61440,0.0
janus,ours,GenEval,onlyT1,img/qkv,25085030400,13.454
janus,ours,GenEval,onlyT1,text/attn,1010582940,0.542
janus,ours,GenEval,onlyT1,text/ffn_down,8113151232,4.351
janus,ours,GenEval,onlyT1,text/ffn_up,32740067712,17.56
janus,ours,GenEval,onlyT1,text/omap,5952739584,3.193
janus,ours,GenEval,onlyT1,text/qkv,17858218752,9.578
janus,ours,GenEval,onlyT2,img/attn,17189867520,8.996
janus,ours,GenEval,onlyT2,img/drain,15360,0.0
janus,ours,GenEval,onlyT2,img/ffn_down,25668403200,13.433
janus,ours,GenEval,onlyT2,img/ffn_up,48128256000,25.187
janus,ours,GenEval,onlyT2,img/omap,9333964800,4.885
janus,ours,GenEval,onlyT2,img/prefetch,61440,0.0
